,x,y,cell_id,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10
68,0.5087994635961676,6.883885955456063,7,-69.23169830503048,-83.77191186771705,-94.65526084185157,-98.56093748138558,-80.10873752435062,-88.36262792943691,-96.2933329184952,-86.56709940332007,-91.58861450764105,-95.13185541306233,-97.78556627261878
69,0.2460747272116488,6.636913365070608,7,-69.56138371693625,-83.67510826667399,-91.6298542529454,-99.71894818768163,-79.22565799043186,-90.20324799272082,-94.61132827028072,-89.40091293116613,-94.17585983720124,-93.67583084061799,-102.33753791863076
70,0.0190216272664937,7.964362876660586,8,-74.44525729960719,-88.18993003535596,-97.33138851640379,-97.89530712832342,-78.07997167473664,-93.97881609749359,-96.78440257808079,-88.97522424513124,-89.35159388498904,-96.09489325814314,-98.1261141333774
71,0.69647693335626,7.682930802483237,8,-77.50784551922126,-87.32000253658178,-93.52362778944175,-96.55793496000608,-79.62884550967992,-92.38186760764685,-94.15587298017013,-85.21134830366802,-89.31453709210895,-91.88388977498278,-100.99796173668457
72,0.6349415675580096,7.4325742556249645,8,-72.99960801331295,-83.2252476035054,-93.02522385119121,-97.74334150725433,-78.69730365835953,-90.85821510352835,-97.40789010211572,-86.83730720887048,-90.4806274857784,-93.09941031470504,-99.99762409774097
73,0.45075154190443634,7.66587953978223,8,-72.75017642835769,-85.31068483970124,-96.84109409138065,-101.35828295033518,-75.22631433903932,-89.60062981550938,-95.8517345370856,-86.18404356204015,-92.60768266404362,-93.70588663208325,-99.46485539779633
74,0.47191242929591815,7.1248068551474955,8,-72.99950514754302,-85.17623307841184,-90.42915607568847,-100.39297808988518,-80.19372531537044,-88.39153338419386,-96.15791328206038,-88.62619886215361,-91.76988337304775,-95.46708173486186,-101.75909989452722
75,0.6876410076995957,7.929401872550678,8,-77.94863504220787,-85.84212710251781,-95.80891779755812,-96.55961341109114,-77.77266594326497,-89.65347826324549,-93.78702307316857,-89.74975945592092,-88.97277001551394,-96.64024580233657,-99.4976631210529
76,0.8569876056808177,7.022675491554437,8,-74.4019176742141,-84.72720417917965,-91.36912402665988,-96.74994087285452,-80.0022851609866,-89.7645200510502,-96.39258119230527,-89.0302540996494,-89.84847906151082,-93.88526884160326,-99.2597923594655
77,0.29584581535903964,7.614149923081672,8,-72.81310214019514,-90.21074875390337,-92.35771791088892,-99.2069574992229,-77.27986488305012,-90.94204784281482,-94.39457345591379,-90.25273262448897,-90.0332930678809,-95.57747706215875,-98.06472484296532
78,0.859433879291232,7.7540541714365725,8,-75.50399095606662,-84.27781648102771,-91.69169868572024,-100.11982638357128,-77.73942844201787,-88.64190335898553,-99.20772321383414,-87.2483343735319,-91.05080999071268,-92.28576943706626,-100.25928250219481
79,0.6084885634882271,7.242111306883709,8,-72.13787438741528,-83.53142753154889,-95.03812803882515,-96.8992241633938,-80.00755666372406,-87.861762989341,-94.33246915578962,-87.72269692127313,-92.9081880081641,-92.93539020649742,-96.59158011577307
80,0.7385759387355438,8.24887857142996,9,-75.70062200124127,-87.82288573450778,-92.04508620434385,-98.63778217253414,-78.44737632552904,-88.7016494513873,-95.67108995280805,-86.3486739923751,-88.47014913847363,-96.0410956213116,-98.810198919025
81,0.3336096260327799,8.305780860272613,9,-78.08218518063957,-86.97811314653867,-91.57746354940582,-98.31078844360354,-78.21863254372298,-89.15568474690585,-97.73316811576434,-85.54845705510405,-88.96249794477339,-97.19446862471185,-94.67904961161307
82,0.11120755401369486,8.35412005590837,9,-78.4554971244331,-86.84244744765438,-90.11016300334198,-98.01797988651626,-76.6085670501971,-87.20365316052772,-97.02040446645493,-86.162419160949,-87.70033217728759,-91.7643897968993,-99.96777042651114
83,0.20167051314531637,8.821897661535239,9,-79.50566069147743,-83.89094278062291,-93.11160822909751,-100.09798232892996,-80.13109507425766,-84.92871604833306,-94.96376650879766,-87.36024126049045,-87.91153403858426,-93.00201044186976,-98.29676413766326
84,0.16140211266603965,8.383265360165893,9,-81.61775634421109,-84.6376625929112,-93.57796438467156,-97.43969337276621,-79.06830637710483,-86.43394766596383,-93.28940828107326,-85.02855464812383,-87.95249986890929,-94.39723303813201,-94.92487288404861
85,0.5891324222243123,8.184086961359093,9,-76.71435977654973,-87.13027224023703,-92.9887932988814,-99.49439935373002,-78.65350946689178,-90.2334104497463,-96.96972504795126,-86.24381849029751,-86.88224096090443,-94.98751899146033,-98.95514955028838
86,0.6860681112795759,8.209091240903742,9,-75.84832451679874,-84.08740981649632,-90.21663066059881,-92.4802505126152,-75.12701378919985,-90.60334576098661,-95.0826492338893,-87.83832192069322,-92.23474458792869,-94.27142176203043,-100.08708987905189
87,0.9108908780301636,8.987592619100578,9,-78.92560420037118,-85.98930718713912,-92.66715280729484,-97.39027387526258,-75.60692475119208,-87.5892196646127,-96.66256086570134,-83.45592626402976,-88.05159330203382,-94.84709166479422,-98.60991407658207
88,0.4238306188304779,8.570894199859447,9,-76.78589236940996,-85.4105395979266,-98.11054835757037,-99.84989713128473,-72.13778861983475,-87.85263694890611,-99.36011936247431,-86.1731447322517,-88.75155686229579,-96.03687970396956,-99.13249064255798
89,0.23198227398644944,8.503022174686803,9,-82.16700852487124,-88.49961321209084,-93.81371410111922,-98.1486026828654,-77.43324517350142,-89.77546534408054,-97.09187999713082,-86.94494469919778,-90.09103527843114,-97.3074512902869,-103.07868568713926
90,0.14553939530389848,9.220920908519187,10,-82.81685176519491,-84.964481293099,-98.09633643927741,-97.13111654590296,-76.64996990650678,-86.69224997851397,-97.72899113820378,-84.63380206011045,-89.50568195776466,-92.66088818634012,-96.9329997736425
91,0.0956019784737473,9.506862877006055,10,-78.1645293032686,-87.25372751563445,-95.46327300427474,-98.93889417969588,-81.09089995699283,-91.47493787104062,-96.80426861584323,-78.71276560855625,-88.4355892891782,-98.33067591906236,-98.07865672741987
92,0.20648849904887667,9.504218698898022,10,-81.5774095072642,-87.77352928021864,-95.83053836524073,-97.83023429882854,-77.01073263468099,-90.60776933489856,-95.67359512474623,-83.68316381151878,-87.70786361113841,-93.64412806738564,-96.02030863563269
